[0.000000] (-) TimerEvent: {}
[0.001205] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.001240] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.001320] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001341] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001352] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.001364] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.001374] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001384] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001394] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001405] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001415] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001425] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001435] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001445] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001455] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001464] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001474] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001485] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001495] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001505] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001515] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001652] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001741] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001757] (-) JobUnselected: {'identifier': 'first_package'}
[0.001769] (-) JobUnselected: {'identifier': 'image_converter'}
[0.001779] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.001789] (-) JobUnselected: {'identifier': 'image_proc'}
[0.001800] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.001810] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.001820] (-) JobUnselected: {'identifier': 'image_view'}
[0.001830] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001840] (-) JobUnselected: {'identifier': 'sprint2'}
[0.001850] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.001859] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.002275] (-) EventReactorShutdown: {}
